DIAGNOSIS CODE,LONG DESCRIPTION,SHORT DESCRIPTION
75617,Spina bifida occulta,Spina bifida occulta
75619,Other anomalies of spine,Anomaly of spine NEC
7562,Cervical rib,Cervical rib
7563,Other anomalies of ribs and sternum,Rib & sternum anomal NEC
7564,Chondrodystrophy,Chondrodystrophy
75650,"Congenital osteodystrophy, unspecified",Osteodystrophy NOS
75651,Osteogenesis imperfecta,Osteogenesis imperfecta
75652,Osteopetrosis,Osteopetrosis
75653,Osteopoikilosis,Osteopoikilosis
75654,Polyostotic fibrous dysplasia of bone,Polyostotic fibros dyspl
75655,Chondroectodermal dysplasia,Chondroectoderm dysplas
75656,Multiple epiphyseal dysplasia,Mult epiphyseal dysplas
75659,Other osteodystrophies,Osteodystrophy NEC
7566,Anomalies of diaphragm,Anomalies of diaphragm
75670,"Anomaly of abdominal wall, unspecified",Congn anoml abd wall NOS
75671,Prune belly syndrome,Prune belly syndrome
75672,Omphalocele,Omphalocele
75673,Gastroschisis,Gastroschisis
75679,Other congenital anomalies of abdominal wall,Congn anoml abd wall NEC
75681,Absence of muscle and tendon,Absence of muscle/tendon
75682,Accessory muscle,Accessory muscle
75683,Ehlers-Danlos syndrome,Ehlers-danlos syndrome
75689,"Other specified anomalies of muscle, tendon, fascia, and connective tissue",Soft tissue anomaly NEC
7569,Other and unspecified anomalies of musculoskeletal system,Musculoskel anom NEC/NOS
7570,Hereditary edema of legs,Hereditary edema of legs
7571,Ichthyosis congenita,Ichthyosis congenita
7572,Dermatoglyphic anomalies,Dermatoglyphic anomalies
75731,Congenital ectodermal dysplasia,Cong ectodermal dysplas
75732,Vascular hamartomas,Vascular hamartomas
75733,Congenital pigmentary anomalies of skin,Cong skin pigment anomal
75739,Other specified anomalies of skin,Skin anomaly NEC
7574,Specified anomalies of hair,Hair anomalies NEC
7575,Specified anomalies of nails,Nail anomalies NEC
7576,Specified congenital anomalies of breast,Cong breast anomaly NEC
7578,Other specified anomalies of the integument,Oth integument anomalies
7579,Unspecified congenital anomaly of the integument,Integument anomaly NOS
7580,Down's syndrome,Down's syndrome
7581,Patau's syndrome,Patau's syndrome
7582,Edwards' syndrome,Edwards' syndrome
75831,Cri-du-chat syndrome,Cri-du-chat syndrome
75832,Velo-cardio-facial syndrome,Velo-cardio-facial synd
75833,Other microdeletions,Microdeletions NEC
75839,Other autosomal deletions,Autosomal deletions NEC
7584,Balanced autosomal translocation in normal individual,Balance autosom transloc
7585,Other conditions due to autosomal anomalies,Autosomal anomalies NEC
7586,Gonadal dysgenesis,Gonadal dysgenesis
7587,Klinefelter's syndrome,Klinefelter's syndrome
75881,Other conditions due to sex chromosome anomalies,Oth cond due to sex chrm
75889,Other conditions due to chromosome anomalies,Oth con d/t chrm anm NEC
7589,Conditions due to anomaly of unspecified chromosome,Chromosome anomaly NOS
7590,Anomalies of spleen,Anomalies of spleen
7591,Anomalies of adrenal gland,Adrenal gland anomaly
7592,Anomalies of other endocrine glands,Endocrine anomaly NEC
7593,Situs inversus,Situs inversus
7594,Conjoined twins,Conjoined twins
7595,Tuberous sclerosis,Tuberous sclerosis
7596,"Other hamartoses, not elsewhere classified",Hamartoses NEC
7597,"Multiple congenital anomalies, so described",Mult congen anomal NEC
75981,Prader-Willi syndrome,Prader-willi syndrome
75982,Marfan syndrome,Marfan syndrome
75983,Fragile X syndrome,Fragile x syndrome
75989,Other specified congenital anomalies,Specfied cong anomal NEC
7599,"Congenital anomaly, unspecified",Congenital anomaly NOS
7600,Maternal hypertensive disorders affecting fetus or newborn,Matern hyperten aff NB
7601,Maternal renal and urinary tract diseases affecting fetus or newborn,Matern urine dis aff NB
7602,Maternal infections affecting fetus or newborn,Maternal infec aff NB
7603,Other chronic maternal circulatory and respiratory diseases affecting fetus or newborn,Matern cardioresp aff NB
7604,Maternal nutritional disorders affecting fetus or newborn,Matern nutrit dis aff NB
7605,Maternal injury affecting fetus or newborn,Maternal injury aff NB
76061,Newborn affected by amniocentesis,Amniocentesis affect NB
76062,Newborn affected by other in utero procedure,In utero proc NEC aff NB
76063,Newborn affected by other surgical operations on mother during pregnancy,Mat surg dur preg aff NB
76064,Newborn affected by previous surgical procedure on mother not associated with pregnancy,Prev matern surg aff NB
76070,Unspecified noxious substance affecting fetus or newborn via placenta or breast milk ,Nox sub NOS aff NB/fetus
76071,Alcohol affecting fetus or newborn via placenta or breast milk ,Maternl alc aff NB/fetus
76072,Narcotics affecting fetus or newborn via placenta or breast milk ,Matern narc aff NB/fetus
76073,Hallucinogenic agents affecting fetus or newborn via placenta or breast milk ,Matern halluc af NB/fet
76074,Anti-infectives affecting fetus or newborn via placenta or breast milk ,Mat anti-inf aff NB/fet
76075,Cocaine affecting fetus or newborn via placenta or breast milk ,Mat cocaine aff NB/fet
76076,Diethylstilbestrol [DES] affecting fetus or newborn via placenta or breast milk,Maternal DES af NB/fetus
76077,Anticonvulsants affecting fetus or newborn via placenta or breast milk,Mat anticonv aff NB/fet
76078,Antimetabolic agents affecting fetus or newborn via placenta or breast milk,Mat antimetabol aff NB
76079,Other noxious influences affecting fetus or newborn via placenta or breast milk ,Nox sub NEC aff NB/fetus
7608,Other specified maternal conditions affecting fetus or newborn,Maternal cond NEC aff NB
7609,Unspecified maternal condition affecting fetus or newborn,Maternal cond NOS aff NB
7610,Incompetent cervix affecting fetus or newborn,Incompetnt cervix aff NB
7611,Premature rupture of membranes affecting fetus or newborn,Premat rupt memb aff NB
7612,Oligohydramnios affecting fetus or newborn,Oligohydramnios aff NB
7613,Polyhydramnios affecting fetus or newborn,Polyhydramnios aff NB
7614,Ectopic pregnancy affecting fetus or newborn,Ectopic pregnancy aff NB
7615,Multiple pregnancy affecting fetus or newborn,Mult pregnancy aff NB
7616,Maternal death affecting fetus or newborn,Maternal death aff NB
7617,Malpresentation before labor affecting fetus or newborn,Antepart malpres aff NB
7618,Other specified maternal complications of pregnancy affecting fetus or newborn,Matern compl NEC aff NB
7619,Unspecified maternal complication of pregnancy affecting fetus or newborn,Matern compl NOS aff NB
7620,Placenta previa affecting fetus or newborn,Placenta previa aff NB
7621,Other forms of placental separation and hemorrhage affecting fetus or newborn,Placenta hem NEC aff NB
7622,Other and unspecified morphological and functional abnormalities of placenta affecting fetus or newborn,Abn plac NEC/NOS aff NB
7623,Placental transfusion syndromes affecting fetus or newborn,Placent transfusion syn
7624,Prolapsed umbilical cord affecting fetus or newborn,Prolapsed cord aff NB
7625,Other compression of umbilical cord affecting fetus or newborn,Oth umbil cord compress
7626,Other and unspecified conditions of umbilical cord affecting fetus or newborn,Umbil cond NEC aff NB
7627,Chorioamnionitis affecting fetus or newborn,Chorioamnionitis aff NB
7628,Other specified abnormalities of chorion and amnion affecting fetus or newborn,Abn amnion NEC aff NB
7629,Unspecified abnormality of chorion and amnion affecting fetus or newborn,Abn amnion NOS aff NB
7630,Breech delivery and extraction affecting fetus or newborn,Breech del/extrac aff NB
7631,"Other malpresentation, malposition, and disproportion during labor and delivery affecting fetus or newborn",Malpos/dispro NEC aff NB
7632,Forceps delivery affecting fetus or newborn,Forceps delivery aff NB
7633,Delivery by vacuum extractor affecting fetus or newborn,Vacuum extrac del aff NB
7634,Cesarean delivery affecting fetus or newborn,Cesarean delivery aff NB
7635,Maternal anesthesia and analgesia affecting fetus or newborn,Mat anesth/analg aff NB
7636,Precipitate delivery affecting fetus or newborn,Precipitate del aff NB
7637,Abnormal uterine contractions affecting fetus or newborn,Abn uterine contr aff NB
76381,Abnormality in fetal heart rate or rhythm before the onset of labor,Ab ftl hrt rt/rh b/f lab
76382,Abnormality in fetal heart rate or rhythm during labor,Ab ftl hrt rt/rh dur lab
76383,"Abnormality in fetal heart rate or rhythm, unspecified as to time of onset",Ab ftl hrt rt/rhy NOS
76384,Meconium passage during delivery,Meconium dur del aff NB
76389,Other specified complications of labor and delivery affecting fetus or newborn,Compl del NEC aff NB
7639,Unspecified complication of labor and delivery affecting fetus or newborn,Compl deliv NOS aff NB
76400,"""Light-for-dates"" without mention of fetal malnutrition, unspecified [weight]",Light-for-dates wtNOS
76401,"""Light-for-dates"" without mention of fetal malnutrition, less than 500 grams",Light-for-dates <500g
76402,"""Light-for-dates"" without mention of fetal malnutrition, 500-749 grams",Lt-for-dates 500-749g
76403,"""Light-for-dates"" without mention of fetal malnutrition, 750-999 grams",Lt-for-dates 750-999g
76404,"""Light-for-dates"" without mention of fetal malnutrition, 1,000- 1,249 grams",Lt-for-dates 1000-1249g
76405,"""Light-for-dates""without mention of fetal malnutrition,  1,250- 1,499 grams",Lt-for-dates 1250-1499g
76406,"""Light-for-dates"" without mention of fetal malnutrition, 1,500- 1,749 grams",Lt-for-dates 1500-1749g
76407,"""Light-for-dates"" without mention of fetal malnutrition, 1,750- 1,999 grams",Lt-for-dates 1750-1999g
76408,"""Light-for-dates"" without mention of fetal malnutrition,  2,000- 2,499 grams",Lt-for-dates 2000-2499g
76409,"""Light-for-dates"" without mention of fetal malnutrition, 2,500 grams and over",Lt-for-dates 2500+g
76410,"""Light-for-dates"" with signs of fetal malnutrition, unspecified [weight]",Lt-for-date w/mal wtNOS
76411,"""Light-for-dates"" with signs of fetal malnutrition, less than 500 grams",Lt-for-date w/mal <500g
76412,"""Light-for-dates""with signs of fetal malnutrition,  500-749 grams",Lt-date w/mal 500-749g
76413,"""Light-for-dates"" with signs of fetal malnutrition, 750-999 grams",Lt-date w/mal 750-999g
76414,"""Light-for-dates"" with signs of fetal malnutrition, 1,000-1,249 grams",Lt-date w/mal 1000-1249g
76415,"""Light-for-dates"" with signs of fetal malnutrition, 1,250-1,499 grams",Lt-date w/mal 1250-1499g
76416,"""Light-for-dates"" with signs of fetal malnutrition, 1,500-1,749 grams",Lt-date w/mal 1500-1749g
76417,"""Light-for-dates"" with signs of fetal malnutrition, 1,750-1,999 grams",Lt-date w/mal 1750-1999g
76418,"""Light-for-dates""with signs of fetal malnutrition, 2,000-2,499 grams",Lt-date w/mal 2000-2499g
76419,"""Light-for-dates""with signs of fetal malnutrition, 2,500 grams and over",Lt-for-date w/mal 2500+g
76420,"Fetal malnutrition without mention of ""light-for-dates"", unspecified [weight]",Fetal malnutrition wtNOS
76421,"Fetal malnutrition without mention of ""light-for-dates"", less than 500 grams",Fetal malnutrition <500g
76422,"Fetal malnutrition without mention of  ""light-for-dates"",  500-749 grams",Fetal malnutr 500-749g
76423,"Fetal malnutrition without mention of  ""light-for-dates"",  750-999 grams",Fetal mal 750-999g
76424,"Fetal malnutrition without mention of ""light-for-dates"",  1,000-1,249 grams",Fetal mal 1000-1249g
76425,"Fetal malnutrition without mention of ""light-for-dates"",  1,250-1,499 grams",Fetal mal 1250-1499g
76426,"Fetal malnutrition without mention of ""light-for-dates"", 1,500-1,749 grams",Fetal mal 1500-1749g
76427,"Fetal malnutrition without mention of ""light-for-dates"", 1,750-1,999 grams",Fetal malnutr 1750-1999g
76428,"Fetal malnutrition without mention of ""light-for-dates"", 2,000-2,499 grams",Fetal malnutr 2000-2499g
76429,"Fetal malnutrition without mention of ""light-for-dates"", 2,500 grams and over",Fetal malnutr 2500+g
76490,"Fetal growth retardation, unspecified, unspecified [weight]",Fet growth retard wtNOS
76491,"Fetal growth retardation, unspecified, less than 500 grams",Fet growth retard <500g
76492,"Fetal growth retardation, unspecified, 500-749 grams",Fet growth ret 500-749g
76493,"Fetal growth retardation, unspecified, 750-999 grams",Fet growth ret 750-999g
76494,"Fetal growth retardation, unspecified, 1,000-1,249 grams",Fet grwth ret 1000-1249g
76495,"Fetal growth retardation,  unspecified, 1,250-1,499 grams",Fet grwth ret 1250-1499g
76496,"Fetal growth retardation,  unspecified, 1,500-1,749 grams",Fet grwth ret 1500-1749g
76497,"Fetal growth retardation,  unspecified, 1,750-1,999 grams",Fet grwth ret 1750-1999g
76498,"Fetal growth retardation,  unspecified, 2,000-2,499 grams",Fet grwth ret 2000-2499g
76499,"Fetal growth retardation, unspecified, 2,500 grams and over",Fet growth ret 2500+g
76500,"Extreme immaturity, unspecified [weight]",Extreme immatur wtNOS
76501,"Extreme immaturity, less than 500 grams",Extreme immatur <500g
76502,"Extreme immaturity, 500-749 grams",Extreme immatur 500-749g
76503,"Extreme immaturity, 750-999 grams",Extreme immatur 750-999g
76504,"Extreme immaturity, 1,000-1,249 grams",Extreme immat 1000-1249g
76505,"Extreme immaturity, 1,250-1,499 grams",Extreme immat 1250-1499g
76506,"Extreme immaturity, 1,500-1,749 grams",Extreme immat 1500-1749g
76507,"Extreme immaturity, 1,750-1,999 grams",Extreme immat 1750-1999g
76508,"Extreme immaturity, 2,000-2,499 grams",Extreme immat 2000-2499g
76509,"Extreme immaturity, 2,500 grams and over",Extreme immat 2500+g
76510,"Other preterm infants, unspecified [weight]",Preterm infant NEC wtNOS
76511,"Other preterm infants, less than 500 grams",Preterm NEC <500g
76512,"Other preterm infants, 500-749 grams",Preterm NEC 500-749g
76513,"Other preterm infants, 750-999 grams",Preterm NEC 750-999g
76514,"Other preterm infants, 1,000-1,249 grams",Preterm NEC 1000-1249g
76515,"Other preterm infants, 1,250-1,499 grams",Preterm NEC 1250-1499g
76516,"Other preterm infants, 1,500-1,749 grams",Preterm NEC 1500-1749g
76517,"Other preterm infants, 1,750-1,999 grams",Preterm NEC 1750-1999g
76518,"Other preterm infants, 2,000-2,499 grams",Preterm NEC 2000-2499g
76519,"Other preterm infants, 2,500 grams and over",Preterm NEC 2500+g
76520,Unspecified weeks of gestation,Weeks of gestation NOS
76521,Less than 24 completed weeks of gestation,<24 comp wks gestation
76522,24 completed weeks of gestation,24 comp weeks gestation
76523,25-26 completed weeks of gestation,25-26 comp wks gestation
76524,27-28 completed weeks of gestation,27-28 comp wks gestation
76525,29-30 completed weeks of gestation,29-30 comp wks gestation
76526,31-32 completed weeks of gestation,31-32 comp wks gestation
76527,33-34 completed weeks of gestation,33-34 comp wks gestation
76528,35-36 completed weeks of gestation,35-36 comp wks gestation
